houseirae_magical_seduction_title; Magical Seduction;;;;;;;;;;;;;x
HouseIraeSeduction5201;Oh ho! [target_seduced.GetFirstName] appreciates the letter and even went so far as being flirtatious in their response. Things are progressing well. \n Of course, I could just end this game if I so desire.;;;;;;;;;;;;;x
HouseIraeSeduction5201A;Continue the pursuit, as it's nearing an end!;;;;;;;;;;;;;x
HouseIraeSeduction5201B;My desires have waned, let me end this.;;;;;;;;;;;;;x
HouseIraeSeduction5200;OMG! I received a love letter from [target_seducer.GetFirstName]! Oh my, the lewd things they'd like to do with me. \n  I feel my heart flutter and my cheeks grow warm. Is it from interest in the letter or repulsion?;;;;;;;;;;;;;x
HouseIraeSeduction5200A;I have to admit, the words and imagery moves me.;;;;;;;;;;;;;x
HouseIraeSeduction5200B;I've not time for this foolishness.;;;;;;;;;;;;;x
HouseIraeSeduction5200C;How dare they imply such things!;;;;;;;;;;;;;x
HouseIraeSeduction5200G;I shall communicate my rejection of their advances.;;;;;;;;;;;;;x
HouseIraeSeduction5030;I believe things will progress a bit better with a little push. The only question is what is the best method to employ in winning them over.;;;;;;;;;;;;;x
HouseIraeSeduction5030A;A love letter will sway them.;;;;;;;;;;;;;x
HouseIraeSeduction5015;How long must I wait? [target_seduced.GetFirstName] isn't cooperating and I'm beginning to question whether such pursuit is worth my time.;;;;;;;;;;;;;x
HouseIraeSeduction5015A;I must be patient and press onward.;;;;;;;;;;;;;x
HouseIraeSeduction5015B;Bah, I shall end this and seek other prey.;;;;;;;;;;;;;x
HouseIraeSeduction5020;Well now. It would appear that [target_seduced.GetFirstName] has made it quite clear that any such pursuit of them is no more than a waste of my time. Such a shame, we would have made such wonderful music together.;;;;;;;;;;;;;x
HouseIraeSeduction5020A;At least I can now focus elsewhere.;;;;;;;;;;;;;x
HouseIraeSeduction5005;I've set my eyes on [target_seduced.GetBestName] and I shall have them dancing like a puppet on my strings. Of course, the age gap between us may raise some eyebrows. \n  Of course, if I do pursue them, I plan on sharing my desire with them when the time is right. And when I do, they'll be bound to me as my lover. \n  Oh how I enjoy a little game.;;;;;;;;;;;;;x
HouseIraeSeductionDoh;Doh! I shouldn't be targeting the player!;;;;;;;;;;;;;x
LesYay;I'll show her a real woman's touch.;;;;;;;;;;;;;x
HoYay;I'll show him a real man's touch.;;;;;;;;;;;;;x
